index,단어,pt
0,가게,0.0
1,가격,0.0
2,가구,0.0
3,가까이,0.0
4,가난,0.0
5,가능,0.0
6,가능성,0.0
7,가로,0.0
8,가로등,0.0
9,가로수,0.0
10,가루,0.0
11,가르침,0.0
12,가뭄,0.0
13,가방,0.0
14,가사,0.0
15,가상,0.0
16,가수,0.0
17,가스,0.0
18,가슴,0.0
19,가슴속,0.0
20,가요,0.0
21,가운데,0.0
22,가위,0.0
23,가을,0.0
24,가이드,0.0
25,가입,0.0
26,가입자,0.0
27,가장,0.0
28,가정,0.0
29,가정교사,0.0
30,가족,0.0
31,가죽,0.0
32,가지,0.0
33,가짜,0.0
34,가치,0.0
35,가치관,0.0
36,가톨릭,0.0
37,각각,0.0
38,각국,0.0
39,각오,0.0
40,각자,0.0
41,각종,0.0
42,간격,0.0
43,간부,0.0
44,간섭,0.0
45,간식,0.0
46,간장,0.0
47,간접,0.0
48,간접적,0.0
49,간판,0.0
50,간호,0.0
51,간호사,0.0
52,갈등,0.0
53,갈비,0.0
54,갈비탕,0.0
55,갈색,0.0
56,갈증,0.0
57,감각,0.0
58,감기,0.0
59,감독,0.0
60,감동,0.0
61,감동적,0.0
62,감사,0.0
63,감상,0.0
64,감소,0.0
65,감수성,0.0
66,감옥,0.0
67,감자,0.0
68,감정,0.0
69,감정적,0.0
70,강남,0.0
71,강당,0.0
72,강도,0.0
73,강물,0.0
74,강변,0.0
75,강북,0.0
76,강사,0.0
77,강수량,0.0
78,강아지,0.0
79,강의,0.0
80,강제,0.0
81,강조,0.0
82,갖가지,0.0
83,개개인,0.0
84,개구리,0.0
85,개나리,0.0
86,개미,0.0
87,개방,0.0
88,개별,0.0
89,개선,0.0
90,개성,0.0
91,개인,0.0
92,개인적,0.0
93,객관적,0.0
94,거리,0.0
95,거실,0.0
96,거액,0.0
97,거울,0.0
98,거짓,0.0
99,거짓말,0.0
100,거품,0.0
101,걱정,0.0
102,건강,0.0
103,건너,0.0
104,건너편,0.0
105,건넌방,0.0
106,건물,0.0
107,건설,0.0
108,건조,0.0
109,건축,0.0
110,걷기,0.0
111,걸음,0.0
112,검사,0.0
113,검은색,0.0
114,검정색,0.0
115,검토,0.0
116,게시판,0.0
117,게임,0.0
118,겨울,0.0
119,겨울철,0.0
120,겨자,0.0
121,견해,0.0
122,결과,0.0
123,결과적,0.0
124,결국,0.0
125,결론,0.0
126,결석,0.0
127,결승,0.0
128,결심,0.0
129,결정,0.0
130,결혼,0.0
131,결혼식,0.0
132,경계,0.0
133,경고,0.0
134,경기,0.0
135,경기장,0.0
136,경력,0.0
137,경복궁,0.0
138,경비,0.0
139,경영,0.0
140,경우,0.0
